inlet_temperature,outlet_temperature,flow_rate,pressure_drop,specific_heat_capacity,fouling_factor
154.9816047538945,111.25716742746937,109.26094938462863,4.655045163505823,4.18,0.1154685803253899
178.02857225639664,135.45641645055122,92.52419894985147,6.094063894704444,4.18,0.235382936001935
169.2797576724562,122.57423924305307,94.84886142283841,6.12190536483032,4.18,0.17578785586717857
163.94633936788148,130.34282764658812,116.95662565581237,6.412289704494619,4.18,0.22396861991616124
146.24074561769746,146.30265895704372,108.1928717897877,6.678274001167985,4.18,0.14800744015459177
146.2397808134481,119.971689165955,90.27591154849888,7.427556238387604,4.18,0.23432848427443007
142.323344486728,126.41531692142519,93.04414628598096,6.048901044903586,4.18,0.15838025181012447
174.6470458309974,140.22204554172194,109.90505307324167,5.468869418823738,4.18,0.10162564772204476
164.04460046972835,119.15192661966489,90.15184751538656,6.885558584306111,4.18,0.23580729646288956
168.3229031118418,113.07919639315172,94.82424154252496,5.312496753786222,4.18,0.11369300151792004
140.8233797718321,121.59005811655072,106.46201368099759,5.816914262116908,4.18,0.14789704563856224
178.79639408647978,116.44885149016018,110.7568559307808,4.735369144026798,4.18,0.24250929505762073
173.29770563201686,147.1879060937029,109.55883778507801,4.576052230246373,4.18,0.2425910720406334
148.49356442713105,142.32481518257669,96.7280792838168,7.387945244033775,4.18,0.18601568321849293
147.27299868828402,135.33615026041693,111.36537664042608,7.007940361536617,4.18,0.1947755818254699
147.33618039413736,144.8584236075087,97.117472624904,6.587922618281094,4.18,0.16726682829674797
152.1696897183815,142.14688307596458,99.76199094477803,5.72685883324281,4.18,0.1439816157547097
160.99025726528953,117.46280235544144,112.39474215354073,5.019882960212537,4.18,0.1492996818054874
157.27780074568463,145.70235993959912,109.48898697141644,4.969311128013258,4.18,0.20087776841155575
151.64916560792167,131.57368967662603,115.47670231482533,5.250728694493786,4.18,0.212856179415652
164.47411578889518,142.2976062065625,109.7283867690103,6.147679994118361,4.18,0.21873685655887729
145.57975442608168,145.84365199693974,107.04925810006415,6.643787768100188,4.18,0.21844272141918308
151.68578594140874,122.72013899887456,92.81024303484277,6.480592130153194,4.18,0.11368091545730356
154.65447373174766,114.40207698110707,101.03147409178301,5.339801690837828,4.18,0.1741630457053872
158.24279936868143,119.11740650167766,97.95607103045177,7.3645958419895825,4.18,0.10863381400249665
171.40703845572054,127.08431154505026,97.3196893013725,6.713690750087306,4.18,0.18242933234856035
147.9869512863344,142.72059063689971,119.19031664257336,6.163062157534203,4.18,0.16622957520600656
160.56937753654447,144.42922333025373,101.79293174000281,6.335162238703057,4.18,0.23315562741374496
163.6965827544817,110.27808522124762,116.7613966553134,5.75880018728337,4.18,0.1526372518828118
141.85801650879992,130.42989210310265,108.93415877991788,5.243192968503473,4.18,0.11756005246414089
164.30179407605755,126.69644012595116,113.84433910624945,5.5679180359537845,4.18,0.12144875230792539
146.82096494749166,118.88431241882921,105.07911279315576,6.773538331393107,4.18,0.21422659475762085
142.60206371941118,114.79461469334731,107.30711653879078,4.543180465889268,4.18,0.19273270949743915
177.95542149013335,123.50460685614512,104.77553081456591,4.848217921520749,4.18,0.11516840141841854
178.62528132298237,147.71638815650078,95.85728963394133,4.638007926065258,4.18,0.11261602091724962
172.33589392465845,122.92811728083021,111.67356345784516,4.62218640695691,4.18,0.205145369718868
152.18455076693482,130.75162486973466,98.42317087322567,7.066381752033021,4.18,0.11091445095462904
143.90688456025535,138.1207583558071,90.72947899294361,6.6109735781400705,4.18,0.22327900889355343
167.36932106048627,124.54518409517176,109.36416887721504,5.922521487261975,4.18,0.20593633407347445
157.60609974958405,148.87128330883843,95.31332038221147,4.793502481953005,4.18,0.11220231709628498
144.88152939379114,148.49789179768445,118.21375753058743,5.974847625350497,4.18,0.1127256571127788
159.8070764044508,120.07129183301457,118.61785731007762,5.920415312341698,4.18,0.2479959367751763
141.37554084460874,129.8899402356954,117.44593170661346,5.019605609730045,4.18,0.15614061936341805
176.3728160831513,122.03513239267079,101.10476100766333,5.801554947713919,4.18,0.15559632206003365
150.35119926400068,121.3936197750987,90.46369849586603,5.69551420319212,4.18,0.2219199350886254
166.50089137415927,111.47547789418131,117.84955687763176,6.347550294156649,4.18,0.2420872866075788
152.46844304357643,134.38257335919587,102.84552444951943,6.405280952602931,4.18,0.24790015957343065
160.80272084711243,130.10716092915447,118.99964457131009,4.635912029316134,4.18,0.21300672778884125
161.86841117373118,112.05915004999957,118.90859931267758,5.623837843879413,4.18,0.15643893782963736
147.3941782210211,121.14585856946445,115.5902836640208,6.377579747142709,4.18,0.11252510750480033
178.78338511058234,146.33063543866615,98.83346676208757,6.009408775740264,4.18,0.2165720373891155
171.0053129344446,119.5824756266789,101.55293185805776,7.069469523564967,4.18,0.18376063746037075
177.57995766256755,115.79579488364892,115.5341001455057,6.476080894856835,4.18,0.16363330138704646
175.79309401710594,129.57811041110253,99.50766015468832,4.988803281244289,4.18,0.23595315776421039
163.91599915244342,149.42601816442402,95.08478240058278,4.71170624220129,4.18,0.1166796223459227
176.87496940092467,119.68221086046002,106.70403787375051,6.427257834618947,4.18,0.17389376564362888
143.5397000820768,136.88542189623513,118.08464322482342,4.579533931624866,4.18,0.10170304671511286
147.8393144967658,140.4647846131487,110.88089390024919,6.25732674382039,4.18,0.17029909629911893
141.80909155642152,119.50550175969599,107.10183510268095,7.320690724274873,4.18,0.1084454913522756
153.01321323053057,139.1286539444744,92.91529481312305,6.226422533627637,4.18,0.1178226874402108
155.54709158757927,124.71132530877013,108.45021680097508,5.664509778619566,4.18,0.11762893701656574
150.85396127095584,135.29223322374318,119.7016155031279,6.4298646553270595,4.18,0.19738154531740953
173.14950036607718,135.34118843043578,94.20252045709572,5.87475867147455,4.18,0.21190673188981352
154.2701330677436,131.43098736299035,105.5498895709121,6.136850367947805,4.18,0.18750531476457394
151.23738038749522,113.61159080217634,116.32119215783867,7.324394426329576,4.18,0.2443258822711813
161.70784332632994,143.41209982356952,112.22305853262614,5.658307913402323,4.18,0.15623058692855563
145.6369689989905,122.83120259886944,110.91047222985804,7.383571691471743,4.18,0.14285681294227912
172.0878792301616,117.46074041599417,111.07452251961328,7.216051925868191,4.18,0.23028986922841904
142.98202574719085,111.63100566219056,100.78473453659265,5.08737340436789,4.18,0.1335393757779179
179.47547746402068,133.63571772752968,98.8077553279348,4.708083902625496,4.18,0.2444833809160917
170.8897907718663,137.1025744736913,114.28083466435541,4.80233400413228,4.18,0.10182317120347245
147.9486272613669,110.66351315711425,114.30340184037541,4.554665476954649,4.18,0.24548182400614585
140.2208846849441,130.48372233197125,116.01216955740311,4.783328882267785,4.18,0.10647398679258642
172.61845713819338,119.05983100791752,117.39721657669413,6.54902032024907,4.18,0.23367146705471067
168.2742937539047,135.806911616378,105.34027196582814,4.713565945380687,4.18,0.17915516636294498
169.1602867216395,116.97465716019965,105.04548884061599,5.456926890881284,4.18,0.24894471941789506
170.85081386743784,137.63750952409865,113.94885536900325,7.034625932908364,4.18,0.11106948471030983
142.96178606936363,125.46941385202149,109.49891792333295,4.569815807207478,4.18,0.18307814266019812
154.3386291417709,147.46919954946938,111.0590063177311,6.943405447766807,4.18,0.24539538034286484
144.6347623810052,115.50083776583973,113.87378008308303,5.3455643243202,4.18,0.17846467662552234
174.52413703502373,123.64265404201034,116.70016025452699,4.854494482864968,4.18,0.19440979572028938
164.93192507310232,114.53894084962356,100.13985470554607,6.5902114960924525,4.18,0.20436230334769256
153.23592099410598,146.98774473114253,101.26748857919831,6.386828540339652,4.18,0.168181159715166
142.54233401144094,145.09357413523924,92.81945819522608,7.132416040581159,4.18,0.19413371201260954
152.4392928686265,120.31766510860622,107.34840422988522,6.705213131411657,4.18,0.18764714678846506
153.00733288106989,136.39936184136715,91.07826821390226,6.910442791154546,4.18,0.23517370157364834
169.18424713352255,142.68888800804865,103.96794054397381,5.34610371771392,4.18,0.10681695705121869
165.50229885420853,132.2080324639785,106.2793390412273,5.032318631339169,4.18,0.14214447843883454
175.48850970305307,131.18602313424026,98.59623756384853,6.751844254922575,4.18,0.24256172261148382
158.88859700647797,119.67409163601806,107.72499781707032,6.920504217801792,4.18,0.23353956758363745
144.78376983753208,113.72411071223597,90.91500749817148,7.47151542600202,4.18,0.16834851291785696
168.52979148891978,145.88863031813307,91.12044566247643,5.737853030734279,4.18,0.1930198896702305
170.43140194467588,146.01672228653322,114.67801681978975,5.61605425737835,4.18,0.1416071774471699
162.45108790277985,135.3240582909307,100.80571924233789,6.82923888222599,4.18,0.1282181739585642
170.83868719818244,123.56119164194803,93.81181537955655,5.522410620759054,4.18,0.16955476074099735
159.75182385457563,123.96838298450643,105.66729780164414,7.292271976810694,4.18,0.15300283420390792
160.90931317527975,139.0382271548096,113.09980659295832,7.075238255529035,4.18,0.18754841677763082
157.10164073434197,145.88441039810309,96.47463082490529,5.786982082125055,4.18,0.11166019554474774
141.0167650697638,145.4834569706047,108.68671427457001,6.752613203374493,4.18,0.24615922114992497
144.31565707973218,141.19502183430495,92.56042394981304,6.763628622254047,4.18,0.24793161167194044
